ID,sepallength,sepalwidth,petallength,petalwidth,class
X1,5.1SL,3.5SW,1.4PL,0.2PW,Iris-setosa
X2,4.9SL,3.0SW,1.4PL,0.2PW,Iris-setosa
X3,4.7SL,3.2SW,1.3PL,0.2PW,Iris-setosa
X4,4.6SL,3.1SW,1.5PL,0.2PW,Iris-setosa
X5,5.0SL,3.6SW,1.4PL,0.2PW,Iris-setosa
X6,5.4SL,3.9SW,1.7PL,0.4PW,Iris-setosa
X7,4.6SL,3.4SW,1.4PL,0.3PW,Iris-setosa
X8,5.0SL,3.4SW,1.5PL,0.2PW,Iris-setosa
X9,4.4SL,2.9SW,1.4PL,0.2PW,Iris-setosa
X10,4.9SL,3.1SW,1.5PL,0.1PW,Iris-setosa
X11,5.4SL,3.7SW,1.5PL,0.2PW,Iris-setosa
X12,4.8SL,3.4SW,1.6PL,0.2PW,Iris-setosa
X13,4.8SL,3.0SW,1.4PL,0.1PW,Iris-setosa
X14,4.3SL,3.0SW,1.1PL,0.1PW,Iris-setosa
X15,5.8SL,4.0SW,1.2PL,0.2PW,Iris-setosa
X16,5.7SL,4.4SW,1.5PL,0.4PW,Iris-setosa
X17,5.4SL,3.9SW,1.3PL,0.4PW,Iris-setosa
X18,5.1SL,3.5SW,1.4PL,0.3PW,Iris-setosa
X19,5.7SL,3.8SW,1.7PL,0.3PW,Iris-setosa
X20,5.1SL,3.8SW,1.5PL,0.3PW,Iris-setosa
X21,5.4SL,3.4SW,1.7PL,0.2PW,Iris-setosa
X22,5.1SL,3.7SW,1.5PL,0.4PW,Iris-setosa
X23,4.6SL,3.6SW,1.0PL,0.2PW,Iris-setosa
X24,5.1SL,3.3SW,1.7PL,0.5PW,Iris-setosa
X25,4.8SL,3.4SW,1.9PL,0.2PW,Iris-setosa
X26,5.0SL,3.0SW,1.6PL,0.2PW,Iris-setosa
X27,5.0SL,3.4SW,1.6PL,0.4PW,Iris-setosa
X28,5.2SL,3.5SW,1.5PL,0.2PW,Iris-setosa
X29,5.2SL,3.4SW,1.4PL,0.2PW,Iris-setosa
X30,4.7SL,3.2SW,1.6PL,0.2PW,Iris-setosa
X31,4.8SL,3.1SW,1.6PL,0.2PW,Iris-setosa
X32,5.4SL,3.4SW,1.5PL,0.4PW,Iris-setosa
X33,5.2SL,4.1SW,1.5PL,0.1PW,Iris-setosa
X34,5.5SL,4.2SW,1.4PL,0.2PW,Iris-setosa
X35,4.9SL,3.1SW,1.5PL,0.1PW,Iris-setosa
X36,5.0SL,3.2SW,1.2PL,0.2PW,Iris-setosa
X37,5.5SL,3.5SW,1.3PL,0.2PW,Iris-setosa
X38,4.9SL,3.1SW,1.5PL,0.1PW,Iris-setosa
X39,4.4SL,3.0SW,1.3PL,0.2PW,Iris-setosa
X40,5.1SL,3.4SW,1.5PL,0.2PW,Iris-setosa
X41,5.0SL,3.5SW,1.3PL,0.3PW,Iris-setosa
X42,4.5SL,2.3SW,1.3PL,0.3PW,Iris-setosa
X43,4.4SL,3.2SW,1.3PL,0.2PW,Iris-setosa
X44,5.0SL,3.5SW,1.6PL,0.6PW,Iris-setosa
X45,5.1SL,3.8SW,1.9PL,0.4PW,Iris-setosa
X46,4.8SL,3.0SW,1.4PL,0.3PW,Iris-setosa
X47,5.1SL,3.8SW,1.6PL,0.2PW,Iris-setosa
X48,4.6SL,3.2SW,1.4PL,0.2PW,Iris-setosa
X49,5.3SL,3.7SW,1.5PL,0.2PW,Iris-setosa
X50,5.0SL,3.3SW,1.4PL,0.2PW,Iris-setosa
X51,7.0SL,3.2SW,4.7PL,1.4PW,Iris-versicolor
X52,6.4SL,3.2SW,4.5PL,1.5PW,Iris-versicolor
X53,6.9SL,3.1SW,4.9PL,1.5PW,Iris-versicolor
X54,5.5SL,2.3SW,4.0PL,1.3PW,Iris-versicolor
X55,6.5SL,2.8SW,4.6PL,1.5PW,Iris-versicolor
X56,5.7SL,2.8SW,4.5PL,1.3PW,Iris-versicolor
X57,6.3SL,3.3SW,4.7PL,1.6PW,Iris-versicolor
X58,4.9SL,2.4SW,3.3PL,1.0PW,Iris-versicolor
X59,6.6SL,2.9SW,4.6PL,1.3PW,Iris-versicolor
X60,5.2SL,2.7SW,3.9PL,1.4PW,Iris-versicolor
X61,5.0SL,2.0SW,3.5PL,1.0PW,Iris-versicolor
X62,5.9SL,3.0SW,4.2PL,1.5PW,Iris-versicolor
X63,6.0SL,2.2SW,4.0PL,1.0PW,Iris-versicolor
X64,6.1SL,2.9SW,4.7PL,1.4PW,Iris-versicolor
X65,5.6SL,2.9SW,3.6PL,1.3PW,Iris-versicolor
X66,6.7SL,3.1SW,4.4PL,1.4PW,Iris-versicolor
X67,5.6SL,3.0SW,4.5PL,1.5PW,Iris-versicolor
X68,5.8SL,2.7SW,4.1PL,1.0PW,Iris-versicolor
X69,6.2SL,2.2SW,4.5PL,1.5PW,Iris-versicolor
X70,5.6SL,2.5SW,3.9PL,1.1PW,Iris-versicolor
X71,5.9SL,3.2SW,4.8PL,1.8PW,Iris-versicolor
X72,6.1SL,2.8SW,4.0PL,1.3PW,Iris-versicolor
X73,6.3SL,2.5SW,4.9PL,1.5PW,Iris-versicolor
X74,6.1SL,2.8SW,4.7PL,1.2PW,Iris-versicolor
X75,6.4SL,2.9SW,4.3PL,1.3PW,Iris-versicolor
X76,6.6SL,3.0SW,4.4PL,1.4PW,Iris-versicolor
X77,6.8SL,2.8SW,4.8PL,1.4PW,Iris-versicolor
X78,6.7SL,3.0SW,5.0PL,1.7PW,Iris-versicolor
X79,6.0SL,2.9SW,4.5PL,1.5PW,Iris-versicolor
X80,5.7SL,2.6SW,3.5PL,1.0PW,Iris-versicolor
X81,5.5SL,2.4SW,3.8PL,1.1PW,Iris-versicolor
X82,5.5SL,2.4SW,3.7PL,1.0PW,Iris-versicolor
X83,5.8SL,2.7SW,3.9PL,1.2PW,Iris-versicolor
X84,6.0SL,2.7SW,5.1PL,1.6PW,Iris-versicolor
X85,5.4SL,3.0SW,4.5PL,1.5PW,Iris-versicolor
X86,6.0SL,3.4SW,4.5PL,1.6PW,Iris-versicolor
X87,6.7SL,3.1SW,4.7PL,1.5PW,Iris-versicolor
X88,6.3SL,2.3SW,4.4PL,1.3PW,Iris-versicolor
X89,5.6SL,3.0SW,4.1PL,1.3PW,Iris-versicolor
X90,5.5SL,2.5SW,4.0PL,1.3PW,Iris-versicolor
X91,5.5SL,2.6SW,4.4PL,1.2PW,Iris-versicolor
X92,6.1SL,3.0SW,4.6PL,1.4PW,Iris-versicolor
X93,5.8SL,2.6SW,4.0PL,1.2PW,Iris-versicolor
